CDN,District,2005-2006,,,2006-2007,,,2007-2008,,,2008-2009,,,2009-2010,,,2010-2011,,,2011-2012,,,2012-2013,,,2013-2014,,,2014-2015,,,2015-2016,,,2016-2017,,,2017-2018,,,2018-2019,,
,,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student,"Total  Operating Expenditures, All Funds 1",Enrollment (membership)2,All Funds Operating Expenditures per Student
001902,CAYUGA ISD,"$4,419,577",582,"$7,594","$4,693,094",569,"$8,248","$7,417,070",580,"$12,788","$7,664,278",594,"$12,903","$8,656,932",628,"$13,785","$8,412,152",606,"$13,881","$7,904,770",590,"$13,398","$8,254,285",595,"$13,873","$8,328,548",553,"$15,061","$8,238,347",577,"$14,278","$8,477,093",568,"$14,924","$8,331,442",576,"$14,464","$8,325,066",575,"$14,478","$8,558,886",564,"$15,175"
001903,ELKHART ISD,"$8,655,605","1,294","$6,689","$8,955,664","1,319","$6,790","$9,559,209","1,375","$6,952","$9,825,460","1,340","$7,332","$10,434,465","1,354","$7,706","$10,320,083","1,325","$7,789","$9,580,620","1,271","$7,538","$9,593,134","1,236","$7,761","$9,752,507","1,207","$8,080","$10,355,795","1,217","$8,509","$11,137,953","1,244","$8,953","$11,147,631","1,267","$8,798","$11,503,115","1,233","$9,329","$11,696,322","1,254","$9,327"
001904,FRANKSTON ISD,"$6,475,854",797,"$8,125","$6,584,942",789,"$8,346","$7,085,955",801,"$8,846","$7,256,086",760,"$9,547","$7,447,859",763,"$9,761","$7,401,813",798,"$9,275","$6,758,460",733,"$9,220","$6,335,441",751,"$8,436","$6,764,455",762,"$8,877","$7,222,332",803,"$8,994","$7,711,916",841,"$9,170","$8,218,507",846,"$9,715","$8,406,173",872,"$9,640","$8,802,724",803,"$10,962"
001906,NECHES ISD,"$2,641,035",329,"$8,027","$2,721,193",352,"$7,731","$2,981,438",361,"$8,259","$3,283,857",390,"$8,420","$3,396,907",376,"$9,034","$3,315,050",370,"$8,960","$3,352,335",403,"$8,318","$3,612,302",406,"$8,897","$3,696,621",389,"$9,503","$3,829,002",370,"$10,349","$4,069,588",383,"$10,626","$3,979,099",377,"$10,555","$4,046,814",360,"$11,241","$4,021,890",366,"$10,989"
001907,PALESTINE ISD,"$23,682,837","3,372","$7,023","$24,887,158","3,405","$7,309","$27,669,079","3,304","$8,374","$28,114,425","3,267","$8,606","$29,085,064","3,238","$8,982","$28,654,466","3,241","$8,841","$27,760,691","3,220","$8,621","$29,838,717","3,288","$9,075","$33,757,359","3,263","$10,345","$33,590,079","3,352","$10,021","$34,638,125","3,385","$10,233","$34,541,983","3,453","$10,003","$35,336,755","3,414","$10,351","$36,374,344","3,389","$10,733"
001908,WESTWOOD ISD,"$12,120,187","1,789","$6,775","$12,462,699","1,759","$7,085","$11,323,745","1,737","$6,519","$11,939,723","1,759","$6,788","$12,147,511","1,695","$7,167","$13,108,940","1,720","$7,621","$12,307,022","1,717","$7,168","$13,584,576","1,619","$8,391","$13,520,171","1,602","$8,440","$14,624,168","1,595","$9,169","$15,237,289","1,609","$9,470","$14,346,682","1,600","$8,967","$14,951,597","1,559","$9,591","$15,231,722","1,518","$10,034"
001909,SLOCUM ISD,"$2,890,092",389,"$7,430","$2,977,904",402,"$7,408","$3,127,782",378,"$8,275","$3,243,349",387,"$8,381","$3,391,423",410,"$8,272","$3,342,790",404,"$8,274","$3,323,388",431,"$7,711","$3,394,428",439,"$7,732","$3,464,729",412,"$8,410","$3,525,962",389,"$9,064","$3,652,302",414,"$8,822","$3,991,960",411,"$9,713","$4,242,656",423,"$10,030","$4,151,210",406,"$10,225"
002901,ANDREWS ISD,"$24,438,507","2,898","$8,433","$27,044,579","2,973","$9,097","$29,308,650","3,035","$9,657","$31,495,935","3,116","$10,108","$32,256,018","3,134","$10,292","$32,422,169","3,242","$10,001","$30,619,275","3,408","$8,985","$29,111,190","3,617","$8,048","$35,670,060","3,758","$9,492","$37,903,425","4,006","$9,462","$39,976,422","3,968","$10,075","$38,433,538","3,954","$9,720","$38,535,346","4,062","$9,487","$40,057,067","4,314","$9,285"
003801,PINEYWOODS COMMUNITY ACADEMY,"$1,407,818",220,"$6,399","$1,781,987",263,"$6,776","$2,094,469",313,"$6,692","$2,544,515",304,"$8,370","$3,097,694",336,"$9,219","$3,792,338",465,"$8,156","$4,525,678",554,"$8,169","$5,203,217",635,"$8,194","$5,516,624",701,"$7,870","$6,449,140",811,"$7,952","$8,244,852",966,"$8,535","$8,842,668","1,037","$8,527","$9,091,361","1,020","$8,913","$9,395,002","1,022","$9,193"
