Campus Number,Campus Name,District Number,District Name,County Number,County Name,Student Count,Dropout Count,Dropout Rate,,,,
001902001,Cayuga HS,001902,Cayuga ISD,001,Anderson County,173,0,0.0,,,,
001902001,Cayuga HS,001902,Cayuga ISD,001,Anderson County,173,0,0.0,,,,
001902001,Cayuga HS,001902,Cayuga ISD,001,Anderson County,173,0,0.0,,,,
001902001,Cayuga HS,001902,Cayuga ISD,001,Anderson County,173,0,0.0,,,,
001902041,Cayuga Middle,001902,Cayuga ISD,001,Anderson County,116,0,0.0,,,,
001902041,Cayuga Middle,001902,Cayuga ISD,001,Anderson County,116,0,0.0,,,,
001902041,Cayuga Middle,001902,Cayuga ISD,001,Anderson County,116,0,0.0,,,,
001902041,Cayuga Middle,001902,Cayuga ISD,001,Anderson County,116,0,0.0,,,,
001903001,Elkhart HS,001903,Elkhart ISD,001,Anderson County,335,0,0.0,,,,
001903001,Elkhart HS,001903,Elkhart ISD,001,Anderson County,334,0,0.0,,,,
001903001,Elkhart HS,001903,Elkhart ISD,001,Anderson County,335,0,0.0,,,,
001903001,Elkhart HS,001903,Elkhart ISD,001,Anderson County,334,0,0.0,,,,
001903041,Elkhart Middle,001903,Elkhart ISD,001,Anderson County,209,0,0.0,,,,
001903041,Elkhart Middle,001903,Elkhart ISD,001,Anderson County,209,0,0.0,,,,
001903041,Elkhart Middle,001903,Elkhart ISD,001,Anderson County,209,0,0.0,,,,
001903041,Elkhart Middle,001903,Elkhart ISD,001,Anderson County,209,0,0.0,,,,
001904001,Frankston HS,001904,Frankston ISD,001,Anderson County,250,2,0.8,,,,
001904001,Frankston HS,001904,Frankston ISD,001,Anderson County,248,2,0.8,,,,
001904001,Frankston HS,001904,Frankston ISD,001,Anderson County,250,2,0.8,,,,
001904001,Frankston HS,001904,Frankston ISD,001,Anderson County,248,2,0.8,,,,
001904041,Frankston Middle,001904,Frankston ISD,001,Anderson County,148,0,0.0,,,,
001904041,Frankston Middle,001904,Frankston ISD,001,Anderson County,148,0,0.0,,,,
001904041,Frankston Middle,001904,Frankston ISD,001,Anderson County,148,0,0.0,,,,
001904041,Frankston Middle,001904,Frankston ISD,001,Anderson County,148,0,0.0,,,,
001906002,Neches HS,001906,Neches ISD,001,Anderson County,115,0,0.0,,,,
001906002,Neches HS,001906,Neches ISD,001,Anderson County,115,0,0.0,,,,
001906002,Neches HS,001906,Neches ISD,001,Anderson County,115,0,0.0,,,,
