Campus Name,Campus,Campus Type,Campus Type Description
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,108913118,21,21-Suburb: Large
2ND H S IN THE DISTRICT,152906004,41,41-Rural: Fringe
3D ACADEMY,108902006,21,21-Suburb: Large
A & M CONS H S,021901001,12,12-City: Mid-size
A & M CONSOLIDATED MIDDLE,021901042,12,12-City: Mid-size
A B DUNCAN COLLEGIATE EL,077901101,41,41-Rural: Fringe
A B MCBAY EL,147903103,33,33-Town: Remote
A C BLUNT MIDDLE,205901041,31,31-Town: Fringe
A C JONES H S,013901001,32,32-Town: Distant
A E BUTLER INT,116908101,41,41-Rural: Fringe
A G ELDER EL,126905103,21,21-Suburb: Large
A LEAL JR MIDDLE,015904042,11,11-City: Large
A M OCHOA EL,108902104,21,21-Suburb: Large
A M PATE EL,220905153,11,11-City: Large
A N RICO EL,108913113,21,21-Suburb: Large
A P BEUTEL EL,020905102,23,23-Suburb: Small
A P SOLIS MIDDLE,108902045,21,21-Suburb: Large
A V CATO EL,220917101,11,11-City: Large
A+ ACADEMY EL,057829001,11,11-City: Large
A+ SECONDARY SCHOOL,057829002,11,11-City: Large
A+ UNLIMITED POTENTIAL - UNIVERSITY,101871102,11,11-City: Large
AARON PARKER EL,139911102,42,42-Rural: Distant
AB HARRISON INT,043914042,21,21-Suburb: Large
ABBETT EL,057909143,21,21-Suburb: Large
ABBOTT SCHOOL,109901001,42,42-Rural: Distant
ABELL J H,165901047,12,12-City: Mid-size
ABERNATHY DAEP,095901003,33,33-Town: Remote
ABERNATHY EL,095901101,31,31-Town: Fringe
ABERNATHY H S,095901001,31,31-Town: Fringe
ABERNATHY MIDDLE,095901041,31,31-Town: Fringe
ABILENE H S,221901001,12,12-City: Mid-size
ABOUT FACE PROGRAM EL,071902171,11,11-City: Large
ABRAHAM KAZEN MIDDLE,015908046,11,11-City: Large
ACADEMY AT CARRIE F THOMAS,220902116,21,21-Suburb: Large
ACADEMY AT NOLA DUNN,126902101,21,21-Suburb: Large
ACADEMY EL,014901102,41,41-Rural: Fringe
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,221901010,41,41-Rural: Fringe
ACADEMY H S,014901001,41,41-Rural: Fringe
ACADEMY INT,014901101,41,41-Rural: Fringe
ACADEMY J H,014901041,41,41-Rural: Fringe
ACADEMY OF ACCELERATED LEARNING,101810002,11,11-City: Large
